"target","correct_option"
"maize porridge & dishes","cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt"
"brown bread / rolls","bread, whole-wheat, prepared from recipe"
"white bread /rolls","bread, white, commercially prepared (includes soft bread crumbs)"
"full cream liquid milks","milk, whole, 3.25% milkfat, without added vitamin a and vitamin d"
"brick margarine","margarine, regular, 80% fat, composite, stick, without salt"
"potato, cooked","potatoes, boiled, cooked in skin, flesh, without salt"
"chicken meat","chicken, broilers or fryers, breast, meat and skin, cooked, roasted"
"non dairy creamer, nd condensed milk,orley whip","cream substitute, powdered"
"chicken eggs","egg, whole, raw, fresh"
"mutton","mutton, cooked, roasted (navajo)"
"tomato & onion stew, cooked fresh","tomato products, canned, sauce, with onions"
"cabbage, cooked","cabbage, cooked, boiled, drained, without salt"
"beans, sugar,kidney,harricot, dried","beans, kidney, all types, mature seeds, raw"
"high fat cheese (cheddar, gouda,mozarella)","cheese, cheddar"
"medium /low fat spread","margarine-like, vegetable oil spread, 20% fat, without salt"
"apple, average, raw","apples, raw, with skin"
"beef gravy and extracts, cooked fresh","gravy, beef, canned, ready-to-serve"
"maize samp/rice & dishes","restaurant, latino, tamale, corn"
"tomato, raw fresh","tomatoes, red, ripe, raw, year round average"
"jam /marmelade","jams and preserves"
"sunflower oil","oil, sunflower, linoleic, (approx. 65%)"
"fish - sea, cooked, fresh","fish, cod, atlantic, raw"
"cookies, loaves, pancakes, tarts,cakes,pudding","cake, sponge, prepared from recipe"
"banana, raw (peeled)","bananas, raw"
"pumkin/butternut, hubbard squash, cooked","squash, winter, butternut, cooked, baked, without salt"
"beef sausage - wors","frankfurter, beef, heated"
"full cream processed milk, (buttermilk, maas)","milk, buttermilk, fluid, whole"
"rusks","crackers, rusk toast"
"peanut butter; smooth style","usda commodity, peanut butter, smooth"
"cold drink, squash type","lemonade, frozen concentrate, white, prepared with water"
"grape, raw fresh","grapes, red or green (european type, such as thompson seedless), raw"
"sweet potato cooked without skin","sweet potato, cooked, boiled, without skin"
"green beans, cooked","beans, snap, green, cooked, boiled, drained, without salt"
"peas, cooked","peas, green, cooked, boiled, drained, without salt"
"onion, cooked","onions, cooked, boiled, drained, without salt"
"chicken heads & feet","chicken, wing, frozen, glazed, barbecue flavored"
"beef offal , other (tongue, heart,brain,lung,tripe)","beef, variety meats and by-products, tongue, cooked, simmered"
"sweets, hard boiled, soft jelly","candies, hard"
"chicken stews, dishes, pies","turkey pot pie, frozen entree"
"wheat based cereals - all bran, weetbix, puffed wheat","cereals ready-to-eat, wheat, puffed, fortified"
"fish - sea, canned","fish, tuna, light, canned in water, drained solids"
"beef gravy and extracts - flour type","gravy, beef, canned, ready-to-serve"
"custard powder, maizena","egg custards, dry mix"
"beer","alcoholic beverage, beer, regular, all"
"chicken fat","fat, chicken"
"rice","rice, white, medium-grain, cooked, unenriched"
"cakes, pastries and buns","cake, yellow, commercially prepared, with vanilla frosting"
"creams","cream, fluid, heavy whipping"
"cheeses","cheese, swiss"
"ice-creams","ice creams, vanilla"
"carrots","carrots, raw"
"tinned or jarred vegetables","vegetables, mixed, canned, drained solids"
"fruit juices","orange juice, canned, unsweetened"
"bananas","bananas, raw"
"citrus fruit","oranges, raw, florida"
"tinned fruit","fruit cocktail, canned, heavy syrup, drained"
"fish dishes","fish, cod, atlantic, cooked, dry heat"
"bacon","pork, cured, bacon, pre-sliced, cooked, pan-fried"
"ham","pork, cured, ham, whole, separable lean only, roasted"
"lamb","lamb, ground, cooked, broiled"
"pork","pork, fresh, ground, cooked"
"sausages","sausage, berliner, pork, beef"
"alcoholic beverages","alcoholic beverage, beer, regular, all"
"chocolate confectionery","candies, milk chocolate"
"non-chocolate confectionery","candies, caramels"
"savoury snacks","snacks, potato chips, plain, salted"
"squashes, cordials and fruit juice drinks","orange juice, canned, unsweetened"
"cereal","cereals, whole wheat hot natural cereal, cooked with water, without salt"
"wheat","wheat flour, white, all-purpose, unenriched"
"corn","corn, sweet, yellow, cooked, boiled, drained, without salt"
"flour","wheat flour, white, all-purpose, unenriched"
"starch/substitute flour","cornstarch"
"bread/rolls/buns","bread, white, commercially prepared (includes soft bread crumbs)"
"crackers","crackers, standard snack-type, regular"
"cake/pie/tart","cake, sponge, commercially prepared"
"scone","biscuits, plain or buttermilk, dry mix, prepared"
"breakfast cereal","cereals ready-to-eat, kellogg, kellogg's corn flakes"
"chinese pastry","puff pastry, frozen, ready-to-bake, baked"
"vegetables (not specified)","vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added"
"root vegetables","lotus root, cooked, boiled, drained, without salt"
"squash/gourd","taro, cooked, without salt"
"bulb vegetables","onions, spring or scallions (includes tops and bulb), raw"
"mushroom","mushrooms, shiitake, cooked, without salt"
"oranges","tangerines, (mandarin oranges), raw"
"lychee","litchis, raw"
"banana","bananas, raw"
"nuts","nuts, mixed nuts, dry roasted, with peanuts, without salt added"
"meat (not specified)","pork, fresh, ground, cooked"
"pig","pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, cooked"
"sheep","lamb, domestic, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4"" fat, choice, cooked"
"chicken","chicken, broilers or fryers, meat and skin, cooked, roasted"
"duck","duck, domesticated, meat and skin, cooked, roasted"
"goose","goose, domesticated, meat and skin, cooked, roasted"
"turkey","turkey, whole, meat and skin, cooked, roasted"
"game (not specified)","chicken, cornish game hens, meat and skin, cooked, roasted"
"pigeon","squab, (pigeon), meat and skin, raw"
"ostrich","ostrich, top loin, cooked"
"frog","frog legs, raw"
"goat","game meat, goat, cooked, roasted"
"eggs (not specified)","egg, whole, raw, fresh"
"milk","milk, whole, 3.25% milkfat, without added vitamin a and vitamin d"
"milk beverage","milk, chocolate beverage, hot cocoa, homemade"
"buffalo milk","milk, indian buffalo, fluid"
"condensed milk","milk, canned, condensed, sweetened"
"evaporated milk","milk, canned, evaporated, without added vitamin a and vitamin d"
"cream","cream, fluid, half and half"
"cheese","cheese, cheddar"
"dried milk","milk, dry, whole, without added vitamin d"
"ice cream","ice creams, vanilla"
"sundae","frozen novelties, ice cream type, sundae, prepackaged"
"popsicle","frozen novelties, juice type, popsicle scribblers"
"sherbet/sorbet","sherbet, orange"
"freshwater fish","fish, bass, freshwater, mixed species, cooked, dry heat"
"coral fish","fish, rockfish, pacific, mixed species, cooked, dry heat"
"crab","crustaceans, crab, blue, cooked, moist heat"
"lobster","crustaceans, spiny lobster, mixed species, cooked, moist heat"
"molluscs (not specified)","mollusks, clam, mixed species, cooked, moist heat"
"univalve","mollusks, snail, raw"
"bivalve","mollusks, clam, mixed species, cooked, moist heat"
"cephalopods","mollusks, cuttlefish, mixed species, cooked, moist heat"
"vegetable oil","vegetable oil, palm kernel"
"salad dressing","salad dressing, mayonnaise, regular"
"grape wine","alcoholic beverage, wine, table, all"
"chinese wine","alcoholic beverage, wine, table, all"
"distilled spirits","alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
"sugar","sugars, granulated"
"sweetener","sweeteners, tabletop, sucralose, splenda packets"
"jellies","jellies"
"candy/chocolate","candies, sweet chocolate"
"gum","chewing gum"
"desserts","cake, white, prepared from recipe without frosting"
"oyster sauce","sauce, oyster, ready-to-serve"
"vinegar","vinegar, distilled"
"gravy","gravy, meat or poultry, low sodium, prepared"
"snack foods","crackers, multigrain"
"fish sashimi","fish, salmon, atlantic, farmed, raw"
"soup","soup, stock, chicken, home-prepared"
"canned fish","fish, tuna, light, canned in water, without salt, drained solids"
"farm milk","milk, whole, 3.25% milkfat, with added vitamin d"
"whole milk","milk, whole, 3.25% milkfat, with added vitamin d"
"skimmed milk","milk, nonfat, fluid, with added nonfat milk solids, vitamin a and vitamin d (fat free or skim)"
"sour milk","yogurt, plain, whole milk, 8 grams protein per 8 ounce"
"yoghurt","yogurt, plain, whole milk, 8 grams protein per 8 ounce"
"vegetable oils","oil, canola"
"butter","butter, salted"
"butter-vegetable oil mixtures","margarine-like, vegetable oil spread, 60% fat, stick, with salt"
"wine","alcoholic beverage, wine, table, all"
"ciders","alcoholic beverage, beer, regular, all"
"long drinks","alcoholic beverage, tequila sunrise, canned"
"other alcoholic beverages","alcoholic beverage, daiquiri, canned"
"other animal fat","lard"
"honey","honey"
"jam","jams and preserves"
"tomato sauces","catsup"
"jams and fruit curds","jams and preserves"
"cereal snacks","rice and wheat cereal bar"
"sauces","catsup"
"chewing gum","chewing gum"
